Methods,Train_acc,Validation_acc,F1_Score
VGG16_3x3_t,86.98 ± 2.88,80.05 ± 1.59,67.66 ± 1.07
Gabor_7x7_t,91.83 ± 2.57,88.57 ± 3.50,76.29 ± 4.61
FFT_7x7_t,92.78 ± 0.66,90.74 ± 0.61,89.56 ± 0.88
gWaveNet_3x3_t,98.25 ± 0.54,96.64 ± 0.71,91.58 ± 0.81
gWaveNet_5x5_t,98.07 ± 0.18,96.31 ± 0.46,91.83 ± 0.99
gWaveNet_7x7_t,97.71 ± 0.26,95.85 ± 0.54,92.95 ± 0.48
gWaveNet_9x9_t,97.10 ± 0.12,94.99 ± 0.09,90.80 ± 0.52
gWaveNet_64k_7x7_t,92.61 ± 0.58,90.80 ± 0.76,88.89 ± 0.21
gWaveNet_16k_7x7_t,92.84 ± 0.46,90.53 ± 0.81,89.19 ± 0.60
gWaveNet_60%_3x3_t,93.89 ± 0.08,93.30 ± 1.61,88.11 ± 2.41
gWaveNet_60%_5x5_t,93.82 ± 0.33,92.41 ± 0.37,87.74 ± 2.55
gWaveNet_60%_7x7_t,95.57 ± 1.04,93.78 ± 0.42,89.62 ± 2.09
gWaveNet_60%_9x9_t,91.53 ± 1.35,89.30 ± 1.16,87.61 ± 1.03
